len	tc	intersection	union	enrichment
1600	0.7	1338265	14643616	0.09138
1600	0.75	1349665	14904019	0.09055
1600	0.8	1371399	15308019	0.08958
1600	0.85	1404318	15933694	0.08813
1600	0.9	1448409	17143436	0.08448
1600	0.95	1635387	21213136	0.07709
1600	1	0	2597477	0
1650	0	0	2597477	0
1650	0.05	368659	4816910	0.07653
1650	0.1	376635	4940788	0.07622
1650	0.15	382736	5027395	0.07613
1650	0.2	387450	5103664	0.07591
1650	0.25	390738	5174610	0.07551
1650	0.3	391557	5235812	0.07478
1650	0.35	393821	5299008	0.07431
1650	0.4	399569	5368776	0.07442
1650	0.45	404267	5434279	0.07439
1650	0.5	410456	5527533	0.07425
1650	0.55	1315428	13883845	0.09474
1650	0.6	1323595	14262404	0.0928
1650	0.65	1328117	14380926	0.09235
1650	0.7	1337040	14605368	0.09154
1650	0.75	1347202	14869066	0.0906
1650	0.8	1365935	15258874	0.08951
1650	0.85	1402458	15859291	0.08843
1650	0.9	1444738	17039213	0.08478
1650	0.95	1629033	20977333	0.07765
1650	1	0	2597477	0
1700	0	0	2597477	0
1700	0.05	368175	4818380	0.07641
1700	0.1	375890	4936062	0.07615
1700	0.15	382458	5020143	0.07618
1700	0.2	385948	5095241	0.07574
1700	0.25	391547	5168400	0.07575
1700	0.3	391741	5225395	0.07496
1700	0.35	393559	5286093	0.07445
1700	0.4	398500	5359473	0.07435
1700	0.45	403061	5421649	0.07434
1700	0.5	410182	5509046	0.07445
1700	0.55	1313124	13862914	0.09472
1700	0.6	1323018	14247443	0.09286
1700	0.65	1326782	14361358	0.09238
1700	0.7	1335285	14559913	0.0917
1700	0.75	1345463	14832301	0.09071
1700	0.8	1365846	15227440	0.08969
1700	0.85	1398957	15796293	0.08856
1700	0.9	1442590	16944131	0.08513
1700	0.95	1622401	20747686	0.07819
1700	1	0	2597477	0
1750	0	0	2597477	0
1750	0.05	367672	4820018	0.07628
1750	0.1	375621	4936538	0.07608
1750	0.15	381505	5009738	0.07615
1750	0.2	386495	5092932	0.07588
1750	0.25	391418	5163834	0.07579
1750	0.3	391296	5214750	0.07503
1750	0.35	394029	5275053	0.07469
1750	0.4	396457	5348751	0.07412
1750	0.45	402677	5412418	0.07439
1750	0.5	409194	5493232	0.07449
1750	0.55	1309536	13756900	0.09519
1750	0.6	1322095	14187977	0.09318
1750	0.65	1327093	14343204	0.09252
1750	0.7	1334133	14538669	0.09176
1750	0.75	1344585	14780846	0.09096
1750	0.8	1363834	15179584	0.08984
1750	0.85	1395968	15747958	0.08864
1750	0.9	1436404	16849161	0.08525
1750	0.95	1610913	20541203	0.07842
1750	1	0	2597477	0
1800	0	0	2597477	0
1800	0.05	367672	4818194	0.0763
1800	0.1	375836	4934808	0.07616
1800	0.15	380712	5004100	0.07608
1800	0.2	386380	5087245	0.07595
1800	0.25	390684	5155513	0.07577
1800	0.3	392325	5204732	0.07537
1800	0.35	394208	5269765	0.0748
1800	0.4	396563	5341467	0.07424
1800	0.45	401638	5399033	0.07439
